response.main.verb,chain,workerid,gloss,trialnum,response,response.caveman,clozeIndex,document,original,condition
explain,88,3,I interrupt.,17,"He explained it to me, though.",he explain it to I,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",caveman
storm,68,4,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",1,"When the man didn't believe him, the manager stormed into the kitchen and produced a book from the fridge.",manager storm into kitchen,3,196,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",original
accuse,168,4,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,2,"She accused us of being cheap so loudly everyone in the restaurant stared at her, and then us.",she accuse we,2,177,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,original
ask,88,4,He told them they were no longer welcome.,3,The customer asked why I couldn't take more money off the bill.,customer ask,5,023,He told them they were no longer welcome.,original
Friday,29,4,It happened on a bank holiday and I was not at work that day.,4,"It was a Friday, so the restaurant was full.",it Friday,0,171,It happened on a bank holiday and I was not at work that day.,original
like,41,4,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.",5,We don't like to cause a fuss.,we like,2,120,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.",original
busy,10,4,It's freezing this time of year so I didn't want to sit near the door.,6,The restaurant was busy and we had to wait to be seated.,restaurant busy,1,025,It's freezing this time of year so I didn't want to sit near the door.,original
think,40,4,I always had to speak up and try to get her attention for a refill.,7,I thought she was very rude.,I think,1,086,I always had to speak up and try to get her attention for a refill.,original
embarrassed,22,4,It was a good thing that they didn't prepare my meal before giving me the price!,8,I was so embarrassed.,I embarrassed,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,original
leave,76,4,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",9,Loose tea leaves poured out everywhere.,tea leave,1,033,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",original
complain,84,4,A few seconds later the server came to check on us and asked how our food was.,10,My wife complained that her steak was overdone.,wife complain,0,063,A few seconds later the server came to check on us and asked how our food was.,original
get,110,4,"I wonder, however, what we could have done differently to avoid his attitude.",11,He wasn't getting a penny more from me.,he get from I,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",original
want,18,4,"I usually tip well, but I gave the waiter 12%, which actually was too much.",12,He wanted us to leave but we weren't going anywhere.,he want we,2,271,"I usually tip well, but I gave the waiter 12%, which actually was too much.",original
suspect,48,4,"In reality this ""judge'' was trying to hide his martini on the floor.",13,I strongly suspected the customer was a drunk.,I suspect,1,022,"In reality this ""judge'' was trying to hide his martini on the floor.",original
offer,86,4,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",14,She offered us apple pie instead.,she offer pie,1,248,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",original
want,11,4,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",15,We didn't want him to disturb other diners.,we want he,3,191,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",original
go,41,4,"The food was good, the service was good, we had a fun time.",16,We went to our regular restaurant on Friday night.,we go to restaurant tmod night,0,243,"The food was good, the service was good, we had a fun time.",original
order,62,4,At this point I'm just sticking around to watch the show.,17,"I ordered a salad, and noticed there was something wrong.",I order salad,0,151,At this point I'm just sticking around to watch the show.,original
order,78,5,You think.,1,we order appetizers ,we order appetizer,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",event_only
be,68,5,He throw.,2,The point was that we wanted it made our way ,point be,5,196,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",event_only
go,84,5,Seconds come.,3,Despite that we went ahead with our order ,we go despite that with order,0,063,A few seconds later the server came to check on us and asked how our food was.,event_only
put,10,5,It be.,4,Putting our best judgement aside we decided to stay ,put judgement,0,025,It was off to a bad start as soon as I walked in the door.,event_only
please,11,5,Son behave.,5,Please get the manager ,please,4,191,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,event_only
happy,40,5,Waitress offer.,6,None of us are happy with the service we have received ,none happy with service,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",event_only
escort,41,5,We people.,7,We were escorted back to the booth we requested. ,we escort to booth,1,243,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.",event_only
interested,76,5,She decide.,8,We were interested in hearing about the specials. ,we interested,1,033,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''",event_only
ask,102,5,Salad deliver.,9,He asked if we would like to order anything else ,he ask,5,151,The salads with the dinners were delivered before the appetizer we ordered.,event_only
decide,88,5,I interrupt.,10,The group decided to meet around 8pm. ,group decide,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",event_only
one,20,5,Couple run.,11,We were the first ones to show up ,we one,1,177,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",event_only
feel,86,5,I order.,12,We all felt that we had ordered enough food for the whole group,we feel,1,248,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",event_only
decide,110,5,Dish hot.,13,She decided to think it over before signing. ,she decide,1,050,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,event_only
have,18,5,Waiter say.,14,A few of our guests had to leave early.,few have,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",event_only
have,41,5,We seat.,15,A few of has that had been there before made suggestions. ,few have that,2,120,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.",event_only
look,22,5,I order.,16,We all look forward to getting together. ,we look,0,153,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",event_only
brough,29,5,It happen.,17,The waitress brough a pitcher out from the bar. ,waitress brough pitcher from bar,0,171,It happened on a bank holiday and I was not at work that day.,event_only
ask,11,6,We be.,1,"He asked his son a question, his son answered with a joke and then the parent told the son to behave, and realized that they blamed the son, even though he was kidding.",he ask son tmod question,3,191,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.",event_only
have,102,6,Salad deliver.,2,"They had a negative experience at a restaurant, which they informed the manager of.",they have experience,5,151,The salads with the dinners were delivered before the appetizer we ordered.,event_only
offer,40,6,I have.,3,The waitress offered them something while they were seated.,waitress offer something,1,086,I always had to speak up and try to get her attention for a refill.,event_only
go,18,6,I tip.,4,"They were going to leave, but the waiter offered them an incentive to stay, so they did.",they go,2,271,"I usually tip well, but I gave the waiter 12%, which actually was too much.",event_only
place,86,6,I order.,5,They placed an order and had to wait for what they felt was an unreasonable amount of time.,they place order,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,event_only
do,29,6,It pour.,6,"Something they were anticipating, but weren't positive would happen, did.",something do,1,171,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,event_only
talk,125,6,He stand.,7,"A child went with their parent to an auction, talked to his mother about what she wanted and then he placed a bid for her.",bid talk to mother,1,120,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",event_only
throw,68,6,He put.,8,"Someone threw something, which made the manager yell, and then the manager to explain what happened and assure a couple to stay.",someone throw something,3,196,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",event_only
have,10,6,It be.,9,The person had to commute outdoors in very cold weather.,person have to commute,0,025,It was off to a bad start as soon as I walked in the door.,event_only
retire,110,6,Dish hot.,10,"The person's wife retired, but he refused to and wondered why his wife chose to.",wife retire,1,050,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,event_only
decide,76,6,She break.,11,She decided to break up with someone.,she decide,0,033,"Of course, she breaks the teabag inside.",event_only
be,88,6,He tell.,12,There was an argument between a couple.,argument be,4,023,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",event_only
do,168,6,Husband decide.,13,Someone did something embarrassing in public.,someone do something in public,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,event_only
impatient,84,6,Server start.,14,Someone was impatient and wanted to the time to pass quickly.,someone impatient,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",event_only
explain,78,6,You think.,15,"Someone was explaining what human beings, in general, allow others to do to them.",someone explain,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",event_only
place,22,6,It thing.,16,Someone was placing an order at a restaurant.,someone place order at restaurant,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,event_only
make,21,6,Waitress come.,17,Someone made a special request at a restaurant that the waitress had to check up on.,someone make request at restaurant,0,243,"After perusing our menus, the waitress came over to take our order.",event_only
pour,29,7,It happen.,1,It poured rain.,it pour rain,0,171,It happened on a bank holiday and I was not at work that day.,event_only
remain,18,7,Waiter say.,2,We remained in the restaurant to leave a tip.,we remain in restaurant,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",event_only
come,47,7,He mention.,3,The waiter comes quickly.,waiter come,1,025,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,event_only
come,47,7,He mention.,3,The waiter comes quickly.,waiter come,1,025,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,event_only
come,47,7,He mention.,3,Waiter come quick.,Waiter come,1,025,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,event_only
converse,125,7,He stand.,4,The mum conversed with her friend.,mum converse with friend,1,120,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",event_only
blame,11,7,Son behave.,5,We blame the criminals.,we blame criminal,4,191,Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.,event_only
look,21,7,Waitress come.,6,Waitress looked at him.,waitress look at he,0,243,"After perusing our menus, the waitress came over to take our order.",event_only
manager,48,7,Judge try.,7,I am the manager.,I manager,1,022,"In reality this ""judge'' was trying to hide his martini on the floor.",event_only
decide,76,7,She break.,8,She decide who wins.,she decide,0,033,"Of course, she breaks the teabag inside.",event_only
have,40,7,Waitress offer.,9,I have money.,I have money,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",event_only
start,84,7,Seconds come.,10,Server start soon.,start,0,063,A few seconds later the server came to check on us and asked how our food was.,event_only
put,68,7,He throw.,11,He put the headphones on.,he put headphone  on,5,196,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",event_only
go,88,7,He tell.,12,I go to the room.,I go to room,5,023,He told them they were no longer welcome.,event_only
order,102,7,Salad deliver.,13,We order two Cokes.,we order coke,5,151,The salads with the dinners were delivered before the appetizer we ordered.,event_only
order,86,7,I order.,14,I order a pizza.,I order pizza,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,event_only
wonder,110,7,Dish hot.,15,I wonder who will win.,I wonder,1,050,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,event_only
go,20,7,Couple run.,16,Mother go to bed.,Mother go to bed,1,177,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",event_only
order,22,7,It thing.,17,I order a sandwich.,I order sandwich,1,153,It was a good thing that they didn't prepare my meal before giving me the price!,event_only
want,110,8,"I wonder, however, what we could have done differently to avoid his attitude.",1,"We just wanted a nice meal, but instead we have a terrible service.",we want meal,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",original
come,41,8,"The food was good, the service was good, we had a fun time.",2,The waiter came and seated us.,waiter come,0,243,"The food was good, the service was good, we had a fun time.",original
end,78,8,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",3,We ended up with a goodnight.,we end with goodnight,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",original
talk,76,8,"Of course, she breaks the teabag inside.",4,She has been talking on the phone all night.,she talk on phone tmod night,0,033,"Of course, she breaks the teabag inside.",original
keep,40,8,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",5,I kept waiting but it took awhile to get the waiter's attention.,I keep,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",original
sit,84,8,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",6,I have been sitting there eating my food silently.,I sit,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",original
ridiculous,22,8,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",7,The price of the menu was absolutely ridiculous.,price ridiculous,0,153,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",original
tell,10,8,It's freezing this time of year so I didn't want to sit near the door.,8,I can tell by the emptiness of the restaurant that it wouldn't be good.,I tell by emptiness,1,025,It's freezing this time of year so I didn't want to sit near the door.,original
look,62,8,At this point I'm just sticking around to watch the show.,9,I looked on the table and I noticed a tissue.,I look on table,0,151,At this point I'm just sticking around to watch the show.,original
oz,68,8,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",10,"The man asked the manager, how do they know for sure they were 10 oz.",they oz,3,196,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",original
walk,29,8,It happened on a bank holiday and I was not at work that day.,11,I was walking outside and noticed a restaurant.,I walk,0,171,It happened on a bank holiday and I was not at work that day.,original
get,41,8,"The food was good, the service was good, we had a fun time.",12,My family has gotten me to go to a restaurant.,family get I,0,120,"The food was good, the service was good, we had a fun time.",original
upset,88,8,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",13,However the customers were still upset.,customer upset,4,023,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",original
strange,168,8,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,14,"It may be strange to most people, but we like to keep track of our own food bills.",it strange to people,2,177,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,original
wave,86,8,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,15,I was waving to the waitress that we needed our bill.,I wave to waitress,0,248,After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.,original
sit,133,8,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",16,We were all sitting there impatiently and upset that our food has not arrived.,we sit,0,191,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",original
experience,18,8,"Just to spite him, we remained at our table for nearly 3 hours.",17,This was the worse experience I ever had a restaurant.,this experience,1,271,"Just to spite him, we remained at our table for nearly 3 hours.",original
turn,84,9,Seconds come.,1,The web server was turned on.,server turn,0,063,A few seconds later the server came to check on us and asked how our food was.,caveman
get,40,9,Waitress offer.,2,Did you get an acceptance letter yet?,you get letter,0,086,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.",caveman
ask,102,9,We start on way.,3,I asked to speak to a manager.,I ask,7,151,We started on our way out of the restaurant.,caveman
run,48,9,Judge try in reality.,4,I run this place.,I run place,1,022,"In reality this ""judge'' was trying to hide his martini on the floor.",caveman
decide,41,9,Food good.,5,We decided which restaurant to go to.,we decide,0,243,"The food was good, the service was good, we had a fun time.",caveman
go,18,9,Waiter say.,6,We went to a restaurant with free WiFi.,we go to restaurant with wifus,0,271,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.",caveman
leave,68,9,Manager shout after they.,7,He leaves without paying.,he leave,6,196,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.",caveman
explain,88,9,I interrupt.,8,He explains.,he explain,1,023,"I interrupted her stating, ""I will go get my manager,'' and walked away.",caveman
go,20,9,Couple run.,9,They go to a restaurant.,they go to restaurant,1,177,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.",caveman
want,133,9,We wait.,10,We wanted to win.,we want,0,191,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",caveman
eat,47,9,He mention.,11,They ate their meal.,they eat meal,1,025,At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.,caveman
pick,41,9,Food good.,12,We picked a restaurant.,we pick restaurant,0,120,"The food was good, the service was good, we had a fun time.",caveman
know,76,9,She break.,13,She doesn't know what to do.,she know,0,033,"Of course, she breaks the teabag inside.",caveman
mystery,22,9,I order.,14,It was a mystery.,it mystery,0,153,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",caveman
busy,86,9,I order.,15,The restaurant is very busy.,restaurant busy,1,248,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",caveman
want,110,9,Dish not hot.,16,She wants us to buy an RV.,she want we,1,050,The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.,caveman
go,58,9,It freezing.,17,I went to a restaurant.,I go to restaurant,0,171,It's freezing this time of year so I didn't want to sit near the door.,caveman
go,76,10,She break.,1,"Where to go for dinner?As usual,",go for dinner?as,0,033,"Of course, she breaks the teabag inside.",event_only
allow,78,10,You think.,2,We allow our server to give us more details about the special of the day,we allow server,1,022,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",event_only
go,86,10,I order.,3,Something went terribly wrong,something go,1,248,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.",event_only
happen,29,10,It pour.,4,It happened that that particular Mondays that Chinese restaurant was c losed,it happen,1,171,It was also pouring with rain outside and the restaurant was very busy with only about two tables free.,event_only
refuse,110,10,I wonder.,5,I refused to pay the bill!,I refuse,3,050,"I wonder, however, what we could have done differently to avoid his attitude.",event_only
moment,125,10,He stand.,6,That was the make or break moment,that moment,1,120,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",event_only
drop,168,10,Husband decide.,7,My pants somehow dropped,pants drop,0,177,My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.,event_only
be,10,10,It freezing.,8,And indeed it was so.,it be,1,025,It's freezing this time of year so I didn't want to sit near the door.,event_only
moment,84,10,Server start.,9,the moment we had been waiting for finally arrived,moment,1,063,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.",event_only
seem,133,10,We wait.,10,Things did not seem clear.,thing seem,0,191,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.",event_only
