workerid,document,chain,clozeIndex,original,gloss,entitymatch,vpmatch,vp,response,condition,trialnum
20,196,68,3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",He put on table.,TODO,no,ask,The man asks for the time.,caveman,16
24,196,68,3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.",TODO,no,leave,"The man got up, scoffed at the manager and walked towards the door.",original,5
2,196,68,5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",He throw.,TODO,no,give in,I did not give in/,event_only,7
3,196,68,5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",He throw.,TODO,no,leave,The people left without paying.,caveman,2
5,196,68,5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",He throw.,TODO,no,want,The point was that we wanted it made our way ,event_only,2
7,196,68,5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",He throw.,TODO,no,put,He put the headphones on.,event_only,11
14,196,68,5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",He throw.,TODO,no,ask,We asked for our meal to be comped.,event_only,1
15,196,68,5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",He throw.,TODO,no,NA,WHo could this couple be.,caveman,5
17,196,68,5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",He throw.,TODO,no,leave,They decided to leave the restaurant.,caveman,15
19,196,68,5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''",TODO,no,leave,The couple ate some and decided to run out on the bill.,original,13
6,23,88,4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",He tell.,TODO,no,argument,There was an argument between a couple.,event_only,12
8,23,88,4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",TODO,no,upset,However the customers were still upset.,original,13
10,23,88,4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",He tell.,TODO,no,come,He comes back to the table,event_only,16
11,23,88,4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",He tell.,TODO,no,lie,I lie.,caveman,14
12,23,88,4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",He tell.,TODO,no,look,Then he looks at what he took out of my hands.,caveman,2
14,23,88,4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",He tell.,TODO,no,ask,I asked for the specials.,event_only,4
20,23,88,4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.",He tell.,TODO,no,ask,He asked a question about the restaurant.,caveman,1
1,23,88,5,He told them they were no longer welcome.,He tell.,TODO,no,look,The desert at the other table looked appetizing. ,caveman,16
4,23,88,5,He told them they were no longer welcome.,He told them they were no longer welcome.,TODO,no,ask,The customer asked why I couldn't take more money off the bill.,original,3
7,23,88,5,He told them they were no longer welcome.,He tell.,TODO,no,go,I go to the room.,event_only,12
13,23,88,5,He told them they were no longer welcome.,He tell.,TODO,no,think,I thought about it for some time.,caveman,10
16,23,88,5,He told them they were no longer welcome.,He tell.,TODO,no,ask,He ask.,caveman,7
17,23,88,5,He told them they were no longer welcome.,He tell.,TODO,no,upset,I begin to get upset.,caveman,12
19,23,88,5,He told them they were no longer welcome.,He told them they were no longer welcome.,TODO,no,tolerate,I made it clear that I wouldn't tolerate that type of behavior either.,original,4
24,23,88,5,He told them they were no longer welcome.,He told them they were no longer welcome.,TODO,no,disrespectful,The couple were so disrespectful to me.,original,8
6,120,125,1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",He stand.,TODO,no,go,"A child went with their parent to an auction, talked to his mother about what she wanted and then he placed a bid for her.",event_only,7
7,120,125,1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",He stand.,TODO,no,converse,The mum conversed with her friend.,event_only,4
10,120,125,1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",He stand.,TODO,no,make,That was the make or break moment,event_only,6
12,120,125,1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",He stand to i.,TODO,no,ask,The waiter asks me what I would like to order.,caveman,6
13,120,125,1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",He stand to i.,TODO,no,say,She said not to worry about it.,caveman,3
14,120,125,1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",He stand.,TODO,no,look,She looked over the menu.,event_only,10
15,120,125,1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",He stand to i.,TODO,no,keep,which one should we keep,caveman,6
16,120,125,1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.",He stand to i.,TODO,no,leave,Waiter leaves.,caveman,5
24,120,125,1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.","He was standing next to me, but I did my best to concentrate on my soda and be polite.",TODO,no,seem,It seemed as though he was going to kiss my mum.,original,9
1,86,40,1,I always had to speak up and try to get her attention for a refill.,I have.,no,no,find,"I found a bug in my food, and wanted a free meal. ",caveman,6
3,86,40,1,I always had to speak up and try to get her attention for a refill.,I have.,TODO,no,decide,We decided to order the special.,caveman,4
4,86,40,1,I always had to speak up and try to get her attention for a refill.,I always had to speak up and try to get her attention for a refill.,TODO,no,rude,I thought she was very rude.,original,7
6,86,40,1,I always had to speak up and try to get her attention for a refill.,I have.,TODO,no,offer,The waitress offered them something while they were seated.,event_only,3
10,86,40,1,I always had to speak up and try to get her attention for a refill.,I have.,TODO,no,decide,We decided not to have a dessert,event_only,15
15,86,40,1,I always had to speak up and try to get her attention for a refill.,I have.,TODO,no,offer,what soup did the waitress offer,caveman,11
17,86,40,1,I always had to speak up and try to get her attention for a refill.,I have.,TODO,no,order,I decided to order another.,caveman,14
19,86,40,1,I always had to speak up and try to get her attention for a refill.,I always had to speak up and try to get her attention for a refill.,TODO,no,helpful,The waitress was helpful but seemed to dislike me.,original,5
20,86,40,1,I always had to speak up and try to get her attention for a refill.,I have.,TODO,no,accept,I accepted her offer.,caveman,7
21,86,40,1,I always had to speak up and try to get her attention for a refill.,I always had to speak up and try to get her attention for a refill.,TODO,no,NA,when they were half full,original,1
22,86,40,1,I always had to speak up and try to get her attention for a refill.,I have.,TODO,no,accept,I accept.,caveman,12
23,86,40,1,I always had to speak up and try to get her attention for a refill.,I have.,TODO,no,accept,We accept the offer.,event_only,10
2,23,88,1,"I interrupted her stating, ""I will go get my manager,'' and walked away.",I interrupt.,TODO,no,decide,I decide what to do.,event_only,16
3,23,88,1,"I interrupted her stating, ""I will go get my manager,'' and walked away.",I interrupt.,TODO,no,explain,"He explained it to me, though.",caveman,17
5,23,88,1,"I interrupted her stating, ""I will go get my manager,'' and walked away.",I interrupt.,TODO,no,decide,The group decided to meet around 8pm. ,event_only,10
9,23,88,1,"I interrupted her stating, ""I will go get my manager,'' and walked away.",I interrupt.,TODO,no,explain,He explains.,caveman,8
15,23,88,1,"I interrupted her stating, ""I will go get my manager,'' and walked away.",I interrupt.,TODO,no,go,where should i go.,caveman,12
18,23,88,1,"I interrupted her stating, ""I will go get my manager,'' and walked away.","I interrupted her stating, ""I will go get my manager,'' and walked away.",yes,no,tell,I told the guest that their coupons were not any good here.,original,5
21,23,88,1,"I interrupted her stating, ""I will go get my manager,'' and walked away.","I interrupted her stating, ""I will go get my manager,'' and walked away.",TODO,no,bring,They had brought coupons in that we didn't normally accept.,original,10
22,23,88,1,"I interrupted her stating, ""I will go get my manager,'' and walked away.",I interrupt.,TODO,no,apologize,I apologize.,caveman,4
23,23,88,1,"I interrupted her stating, ""I will go get my manager,'' and walked away.",I interrupt.,TODO,no,apologize,I apologized.,event_only,15
3,153,22,0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",I order.,TODO,no,great,Our meal was great.,caveman,8
5,153,22,0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",I order.,TODO,no,look forward,We all look forward to getting together. ,event_only,16
8,153,22,0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",TODO,no,ridiculous,The price of the menu was absolutely ridiculous.,original,7
9,153,22,0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",I order.,TODO,no,mystery,It was a mystery.,caveman,14
20,153,22,0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",I order.,TODO,yes,order,I ordered a meal.,caveman,6
22,153,22,0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",I order.,TODO,no,seem,I see.,caveman,11
23,153,22,0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.",I order.,TODO,no,work,It worked.,event_only,16
2,50,110,2,I refused but also declined to tip the culprit.,I refuse.,TODO,no,retired,My wife finally retired now she washes lots of dishes.,event_only,2
3,50,110,2,I refused but also declined to tip the culprit.,I refuse.,TODO,no,reheated,It seemed like the food had been reheated.,caveman,15
13,50,110,2,I refused but also declined to tip the culprit.,I refuse.,TODO,no,like,She usually doesn't like a sink of dirty dishes being left.,caveman,15
15,50,110,2,I refused but also declined to tip the culprit.,I refuse.,TODO,no,retire,Why would my wife retire.,caveman,4
16,50,110,2,I refused but also declined to tip the culprit.,I refuse.,TODO,no,ask,I ask.,caveman,12
17,50,110,2,I refused but also declined to tip the culprit.,I refuse.,TODO,no,get,I get home from work late.,caveman,11
1,271,18,2,"I usually tip well, but I gave the waiter 12%, which actually was too much.",I tip.,TODO,no,overcooked,The food was overcooked and not good. ,caveman,14
3,271,18,2,"I usually tip well, but I gave the waiter 12%, which actually was too much.",I tip.,TODO,no,rude,The staff were very rude.,caveman,5
4,271,18,2,"I usually tip well, but I gave the waiter 12%, which actually was too much.","I usually tip well, but I gave the waiter 12%, which actually was too much.",TODO,no,want,He wanted us to leave but we weren't going anywhere.,original,12
6,271,18,2,"I usually tip well, but I gave the waiter 12%, which actually was too much.",I tip.,TODO,no,offer,"They were going to leave, but the waiter offered them an incentive to stay, so they did.",event_only,4
10,271,18,2,"I usually tip well, but I gave the waiter 12%, which actually was too much.",I tip.,TODO,no,make,We made a good choice,event_only,17
22,271,18,2,"I usually tip well, but I gave the waiter 12%, which actually was too much.",I tip.,TODO,no,leave,We leave.,caveman,9
4,177,168,2,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,TODO,yes,accuse,"She accused us of being cheap so loudly everyone in the restaurant stared at her, and then us.",original,2
8,177,168,2,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,TODO,no,strange,"It may be strange to most people, but we like to keep track of our own food bills.",original,14
11,177,168,2,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,I embarrassed.,TODO,no,mad,She mad.,caveman,17
15,177,168,2,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,I embarrassed.,TODO,no,order,"As for what women order, a lot of them let their husband decide.",caveman,3
17,177,168,2,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,I embarrassed.,TODO,no,mind,The husband did not mind.,caveman,6
20,177,168,2,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,I embarrassed.,TODO,no,laugh,Everyone laughs at him.,caveman,15
21,177,168,2,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,I was so embarrassed by the spectacle she made us into that I just wanted to leave.,TODO,no,think,It's like they thought we were divorced.,original,11
1,50,110,3,"I wonder, however, what we could have done differently to avoid his attitude.",I wonder.,TODO,no,refuse,"My wife refused to cook me anymore meals, stating that she was too busy. ",caveman,12
4,50,110,3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder, however, what we could have done differently to avoid his attitude.",TODO,no,get,He wasn't getting a penny more from me.,original,11
8,50,110,3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder, however, what we could have done differently to avoid his attitude.",TODO,no,want,"We just wanted a nice meal, but instead we have a terrible service.",original,1
10,50,110,3,"I wonder, however, what we could have done differently to avoid his attitude.",I wonder.,TODO,no,refuse,I refused to pay the bill!,event_only,5
11,50,110,3,"I wonder, however, what we could have done differently to avoid his attitude.",I wonder.,TODO,no,mad,She mad.,caveman,12
14,50,110,3,"I wonder, however, what we could have done differently to avoid his attitude.",I wonder.,TODO,no,bring,The waiter brought us free dessert anyway.,event_only,8
18,50,110,3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder, however, what we could have done differently to avoid his attitude.",TODO,no,return,We will not be back.,original,14
19,50,110,3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder, however, what we could have done differently to avoid his attitude.",TODO,no,offer,He offered to take it back to the kitchen to heat it up,original,9
20,50,110,3,"I wonder, however, what we could have done differently to avoid his attitude.",I wonder.,TODO,no,complain,I complained to the manager,caveman,11
22,50,110,3,"I wonder, however, what we could have done differently to avoid his attitude.",I wonder.,TODO,no,ask,I ask.,caveman,6
3,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",You think.,TODO,no,frustrating,It was very frustrating.,caveman,11
5,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",You think.,TODO,no,order,we order appetizers ,event_only,1
6,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",You think.,TODO,no,explain,"Someone was explaining what human beings, in general, allow others to do to them.",event_only,15
8,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","If anyone should know better, you'd think it was him, except for his sense of entitlement.",TODO,no,end,We ended up with a goodnight.,original,3
10,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",You think.,TODO,no,allow,We allow our server to give us more details about the special of the day,event_only,2
13,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",You think.,TODO,no,leave,We had to leave our dog outside in the car.,caveman,5
14,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",You think.,TODO,no,ask,They asked if we would switch tables. ,event_only,5
15,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",You think.,TODO,no,allow,What rules do we not allow?,caveman,17
19,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","If anyone should know better, you'd think it was him, except for his sense of entitlement.",TODO,no,enjoy,We enjoyed the night just fine.,original,7
21,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","If anyone should know better, you'd think it was him, except for his sense of entitlement.",TODO,no,make up,We made up for the evening later on.,original,12
22,22,78,1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.",You think.,TODO,no,leave,We leave.,caveman,7
2,22,48,1,"In reality this ""judge'' was trying to hide his martini on the floor.",Judge try.,TODO,no,manager,I am now the manager at work/,event_only,5
4,22,48,1,"In reality this ""judge'' was trying to hide his martini on the floor.","In reality this ""judge'' was trying to hide his martini on the floor.",TODO,no,suspect,I strongly suspected the customer was a drunk.,original,13
7,22,48,1,"In reality this ""judge'' was trying to hide his martini on the floor.",Judge try.,TODO,no,manager,I am the manager.,event_only,7
9,22,48,1,"In reality this ""judge'' was trying to hide his martini on the floor.",Judge try in reality.,TODO,no,run,I run this place.,caveman,4
11,22,48,1,"In reality this ""judge'' was trying to hide his martini on the floor.",Judge try in reality.,TODO,no,work,I work.,caveman,13
16,22,48,1,"In reality this ""judge'' was trying to hide his martini on the floor.",Judge try in reality.,TODO,no,employees,They are employees.,caveman,13
