"workerid","document","chain","clozeIndex","original","gloss","response","condition","trialnum"
"3","196","68",5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","He throw.","The people left without paying.","caveman",2
"3","191","11",4,"Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","Son behave.","It wasn't the restaurant's fault, though.","caveman",3
"3","086","40",1,"I always had to speak up and try to get her attention for a refill.","I have.","We decided to order the special.","caveman",4
"3","271","18",2,"I usually tip well, but I gave the waiter 12%, which actually was too much.","I tip.","The staff were very rude.","caveman",5
"3","171","29",1,"It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","It pour with rain.","We still had a good time, though.","caveman",6
"3","177","168",0,"My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","Husband decide.","The waiter spilled my drink on me.","caveman",7
"3","153","22",0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","I order.","Our meal was great.","caveman",8
"3","243","21",0,"After perusing our menus, the waitress came over to take our order.","Waitress come.","We didn't know what some of the dishes were.","caveman",9
"3","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","It took a long time for us to be seated.","caveman",10
"3","022","78",1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","You think.","It was very frustrating.","caveman",11
"3","120","41",0,"The food was good, the service was good, we had a fun time.","Food good.","We arrived early.","caveman",12
"3","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","Server start.","The service was very fast.","caveman",13
"3","151","62",0,"At this point I'm just sticking around to watch the show.","I stick.","Something didn't look right on the plate.","caveman",14
"3","050","110",2,"I refused but also declined to tip the culprit.","I refuse.","It seemed like the food had been reheated.","caveman",15
"3","033","76",0,"Of course, she breaks the teabag inside.","She break.","There were a lot of options to choose from.","caveman",16
"3","023","88",1,"I interrupted her stating, ""I will go get my manager,'' and walked away.","I interrupt.","He explained it to me, though.","caveman",17
"4","196","68",3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","When the man didn't believe him, the manager stormed into the kitchen and produced a book from the fridge.","original",1
"4","177","168",2,"I was so embarrassed by the spectacle she made us into that I just wanted to leave.","I was so embarrassed by the spectacle she made us into that I just wanted to leave.","She accused us of being cheap so loudly everyone in the restaurant stared at her, and then us.","original",2
"4","023","88",5,"He told them they were no longer welcome.","He told them they were no longer welcome.","The customer asked why I couldn't take more money off the bill.","original",3
"4","171","29",0,"It happened on a bank holiday and I was not at work that day.","It happened on a bank holiday and I was not at work that day.","It was a Friday, so the restaurant was full.","original",4
"4","120","41",2,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","We don't like to cause a fuss.","original",5
"4","025","10",1,"It's freezing this time of year so I didn't want to sit near the door.","It's freezing this time of year so I didn't want to sit near the door.","The restaurant was busy and we had to wait to be seated.","original",6
"4","086","40",1,"I always had to speak up and try to get her attention for a refill.","I always had to speak up and try to get her attention for a refill.","I thought she was very rude.","original",7
"4","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It was a good thing that they didn't prepare my meal before giving me the price!","I was so embarrassed.","original",8
"4","033","76",1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","Loose tea leaves poured out everywhere.","original",9
"4","063","84",0,"A few seconds later the server came to check on us and asked how our food was.","A few seconds later the server came to check on us and asked how our food was.","My wife complained that her steak was overdone.","original",10
"4","050","110",3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder, however, what we could have done differently to avoid his attitude.","He wasn't getting a penny more from me.","original",11
"4","271","18",2,"I usually tip well, but I gave the waiter 12%, which actually was too much.","I usually tip well, but I gave the waiter 12%, which actually was too much.","He wanted us to leave but we weren't going anywhere.","original",12
"4","022","48",1,"In reality this ""judge'' was trying to hide his martini on the floor.","In reality this ""judge'' was trying to hide his martini on the floor.","I strongly suspected the customer was a drunk.","original",13
"4","248","86",1,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","She offered us apple pie instead.","original",14
"4","191","11",3,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We didn't want him to disturb other diners.","original",15
"4","243","41",0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.","We went to our regular restaurant on Friday night.","original",16
"4","151","62",0,"At this point I'm just sticking around to watch the show.","At this point I'm just sticking around to watch the show.","I ordered a salad, and noticed there was something wrong.","original",17
"5","022","78",1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","You think.","we order appetizers ","event_only",1
"5","196","68",5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","He throw.","The point was that we wanted it made our way ","event_only",2
"5","063","84",0,"A few seconds later the server came to check on us and asked how our food was.","Seconds come.","Despite that we went ahead with our order ","event_only",3
"5","025","10",0,"It was off to a bad start as soon as I walked in the door.","It be.","Putting our best judgement aside we decided to stay ","event_only",4
"5","191","11",4,"Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","Son behave.","Please get the manager ","event_only",5
"5","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","Waitress offer.","None of us are happy with the service we have received ","event_only",6
"5","243","41",1,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","We people.","We were escorted back to the booth we requested. ","event_only",7
"5","033","76",1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","She decide.","We were interested in hearing about the specials. ","event_only",8
"5","151","102",5,"The salads with the dinners were delivered before the appetizer we ordered.","Salad deliver.","He asked if we would like to order anything else ","event_only",9
"5","023","88",1,"I interrupted her stating, ""I will go get my manager,'' and walked away.","I interrupt.","The group decided to meet around 8pm. ","event_only",10
"5","177","20",1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","Couple run.","We were the first ones to show up ","event_only",11
"5","248","86",1,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","I order.","We all felt that we had ordered enough food for the whole group","event_only",12
"5","050","110",1,"The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","Dish hot.","She decided to think it over before signing. ","event_only",13
"5","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","Waiter say.","A few of our guests had to leave early.","event_only",14
"5","120","41",2,"We'd been seated at a booth, but I sat on a regular chair on the outside of the table -- yes, my crazy bubble rules apply to even family members --.","We seat.","A few of has that had been there before made suggestions. ","event_only",15
"5","153","22",0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","I order.","We all look forward to getting together. ","event_only",16
"5","171","29",0,"It happened on a bank holiday and I was not at work that day.","It happen.","The waitress brough a pitcher out from the bar. ","event_only",17
"6","191","11",3,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We be.","He asked his son a question, his son answered with a joke and then the parent told the son to behave, and realized that they blamed the son, even though he was kidding.","event_only",1
"6","151","102",5,"The salads with the dinners were delivered before the appetizer we ordered.","Salad deliver.","They had a negative experience at a restaurant, which they informed the manager of.","event_only",2
"6","086","40",1,"I always had to speak up and try to get her attention for a refill.","I have.","The waitress offered them something while they were seated.","event_only",3
"6","271","18",2,"I usually tip well, but I gave the waiter 12%, which actually was too much.","I tip.","They were going to leave, but the waiter offered them an incentive to stay, so they did.","event_only",4
"6","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","They placed an order and had to wait for what they felt was an unreasonable amount of time.","event_only",5
"6","171","29",1,"It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","It pour.","Something they were anticipating, but weren't positive would happen, did.","event_only",6
"6","120","125",1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.","He stand.","A child went with their parent to an auction, talked to his mother about what she wanted and then he placed a bid for her.","event_only",7
"6","196","68",3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","He put.","Someone threw something, which made the manager yell, and then the manager to explain what happened and assure a couple to stay.","event_only",8
"6","025","10",0,"It was off to a bad start as soon as I walked in the door.","It be.","The person had to commute outdoors in very cold weather.","event_only",9
"6","050","110",1,"The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","Dish hot.","The person's wife retired, but he refused to and wondered why his wife chose to.","event_only",10
"6","033","76",0,"Of course, she breaks the teabag inside.","She break.","She decided to break up with someone.","event_only",11
"6","023","88",4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","He tell.","There was an argument between a couple.","event_only",12
"6","177","168",0,"My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","Husband decide.","Someone did something embarrassing in public.","event_only",13
"6","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","Server start.","Someone was impatient and wanted to the time to pass quickly.","event_only",14
"6","022","78",1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","You think.","Someone was explaining what human beings, in general, allow others to do to them.","event_only",15
"6","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","Someone was placing an order at a restaurant.","event_only",16
"6","243","21",0,"After perusing our menus, the waitress came over to take our order.","Waitress come.","Someone made a special request at a restaurant that the waitress had to check up on.","event_only",17
"7","171","29",0,"It happened on a bank holiday and I was not at work that day.","It happen.","It poured rain.","event_only",1
"7","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","Waiter say.","We remained in the restaurant to leave a tip.","event_only",2
"7","025","47",1,"At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","He mention.","The waiter comes quickly.","event_only",3
"7","025","47",1,"At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","He mention.","The waiter comes quickly.","event_only",3
"7","025","47",1,"At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","He mention.","Waiter come quick.","event_only",3
"7","120","125",1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.","He stand.","The mum conversed with her friend.","event_only",4
"7","191","11",4,"Our son was now behaving the way you would expect an 18-month-old to behave after sitting in a high chair for nearly an hour watching other people eat.","Son behave.","We blame the criminals.","event_only",5
"7","243","21",0,"After perusing our menus, the waitress came over to take our order.","Waitress come.","Waitress looked at him.","event_only",6
"7","022","48",1,"In reality this ""judge'' was trying to hide his martini on the floor.","Judge try.","I am the manager.","event_only",7
"7","033","76",0,"Of course, she breaks the teabag inside.","She break.","She decide who wins.","event_only",8
"7","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","Waitress offer.","I have money.","event_only",9
"7","063","84",0,"A few seconds later the server came to check on us and asked how our food was.","Seconds come.","Server start soon.","event_only",10
"7","196","68",5,"He then would throw that steak on the table, get another one out of the box, throw it on the scale, and again, exclaim:  ""10 ounces!''","He throw.","He put the headphones on.","event_only",11
"7","023","88",5,"He told them they were no longer welcome.","He tell.","I go to the room.","event_only",12
"7","151","102",5,"The salads with the dinners were delivered before the appetizer we ordered.","Salad deliver.","We order two Cokes.","event_only",13
"7","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I order.","I order a pizza.","event_only",14
"7","050","110",1,"The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","Dish hot.","I wonder who will win.","event_only",15
"7","177","20",1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","Couple run.","Mother go to bed.","event_only",16
"7","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","I order a sandwich.","event_only",17
"8","050","110",3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder, however, what we could have done differently to avoid his attitude.","We just wanted a nice meal, but instead we have a terrible service.","original",1
"8","243","41",0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.","The waiter came and seated us.","original",2
"8","022","78",1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","If anyone should know better, you'd think it was him, except for his sense of entitlement.","We ended up with a goodnight.","original",3
"8","033","76",0,"Of course, she breaks the teabag inside.","Of course, she breaks the teabag inside.","She has been talking on the phone all night.","original",4
"8","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","I kept waiting but it took awhile to get the waiter's attention.","original",5
"8","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","I have been sitting there eating my food silently.","original",6
"8","153","22",0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","The price of the menu was absolutely ridiculous.","original",7
"8","025","10",1,"It's freezing this time of year so I didn't want to sit near the door.","It's freezing this time of year so I didn't want to sit near the door.","I can tell by the emptiness of the restaurant that it wouldn't be good.","original",8
"8","151","62",0,"At this point I'm just sticking around to watch the show.","At this point I'm just sticking around to watch the show.","I looked on the table and I noticed a tissue.","original",9
"8","196","68",3,"He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","He put the box and the scale down on their table, and proceeded to pull raw steaks out of the box.","The man asked the manager, how do they know for sure they were 10 oz.","original",10
"8","171","29",0,"It happened on a bank holiday and I was not at work that day.","It happened on a bank holiday and I was not at work that day.","I was walking outside and noticed a restaurant.","original",11
"8","120","41",0,"The food was good, the service was good, we had a fun time.","The food was good, the service was good, we had a fun time.","My family has gotten me to go to a restaurant.","original",12
"8","023","88",4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","However the customers were still upset.","original",13
"8","177","168",2,"I was so embarrassed by the spectacle she made us into that I just wanted to leave.","I was so embarrassed by the spectacle she made us into that I just wanted to leave.","It may be strange to most people, but we like to keep track of our own food bills.","original",14
"8","248","86",0,"After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","After we ordered the waitress came back and apologized saying they were out of the pecan pie I had ordered.","I was waving to the waitress that we needed our bill.","original",15
"8","191","133",0,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","We were all sitting there impatiently and upset that our food has not arrived.","original",16
"8","271","18",1,"Just to spite him, we remained at our table for nearly 3 hours.","Just to spite him, we remained at our table for nearly 3 hours.","This was the worse experience I ever had a restaurant.","original",17
"9","063","84",0,"A few seconds later the server came to check on us and asked how our food was.","Seconds come.","The web server was turned on.","caveman",1
"9","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","Waitress offer.","Did you get an acceptance letter yet?","caveman",2
"9","151","102",7,"We started on our way out of the restaurant.","We start on way.","I asked to speak to a manager.","caveman",3
"9","022","48",1,"In reality this ""judge'' was trying to hide his martini on the floor.","Judge try in reality.","I run this place.","caveman",4
"9","243","41",0,"The food was good, the service was good, we had a fun time.","Food good.","We decided which restaurant to go to.","caveman",5
"9","271","18",0,"The waiter said nothing the rest of the evening about us having to leave early, but he was clearly peeved.","Waiter say.","We went to a restaurant with free WiFi.","caveman",6
"9","196","68",6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","Manager shout after they.","He leaves without paying.","caveman",7
"9","023","88",1,"I interrupted her stating, ""I will go get my manager,'' and walked away.","I interrupt.","He explains.","caveman",8
"9","177","20",1,"A couple of months ago my husband and I were out running errands and decide to meet up with some friends at a local ""Mom & Pop'' restaurant.","Couple run.","They go to a restaurant.","caveman",9
"9","191","133",0,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","We wait.","We wanted to win.","caveman",10
"9","025","47",1,"At that point he also mentioned that the boss likes to sit at the booth I asked to sit in and that's why I couldn't sit there.","He mention.","They ate their meal.","caveman",11
"9","120","41",0,"The food was good, the service was good, we had a fun time.","Food good.","We picked a restaurant.","caveman",12
"9","033","76",0,"Of course, she breaks the teabag inside.","She break.","She doesn't know what to do.","caveman",13
"9","153","22",0,"I ordered a fairly simple meal, and it was only when I opened my wallet that I suddenly realised I had forgotten to go to the bank.","I order.","It was a mystery.","caveman",14
"9","248","86",1,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","I order.","The restaurant is very busy.","caveman",15
"9","050","110",1,"The dish was not hot and barely palatable; I believe he deliberately left it sitting before he brought it out as there were not enough other customers for the kitchen to be backed up.","Dish not hot.","She wants us to buy an RV.","caveman",16
"9","171","58",0,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","I went to a restaurant.","caveman",17
"10","033","76",0,"Of course, she breaks the teabag inside.","She break.","Where to go for dinner?As usual,","event_only",1
"10","022","78",1,"If anyone should know better, you'd think it was him, except for his sense of entitlement.","You think.","We allow our server to give us more details about the special of the day","event_only",2
"10","248","86",1,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","I order.","Something went terribly wrong","event_only",3
"10","171","29",1,"It was also pouring with rain outside and the restaurant was very busy with only about two tables free.","It pour.","It happened that that particular Mondays that Chinese restaurant was c losed","event_only",4
"10","050","110",3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder.","I refused to pay the bill!","event_only",5
"10","120","125",1,"He was standing next to me, but I did my best to concentrate on my soda and be polite.","He stand.","That was the make or break moment","event_only",6
"10","177","168",0,"My husband and I decided to just order a couple of sodas and desserts as we had a big breakfast earlier in the day and we explained to the waitress that our two orders would be on a separate ticket which seemed to confuse her.","Husband decide.","My pants somehow dropped","event_only",7
"10","025","10",1,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","And indeed it was so.","event_only",8
"10","063","84",1,"The server started arguing with my wife, ""I made sure the cook knew it had to be rare... the cook was going to leave it on longer but I made him take it off... etc.'' After a minute or so of listening to them argue about whether the burger was well done or rare, I just picked the burger patty up with both hands, they both stopped and looked at me, and I broke the burger patty in half with an audible snap.","Server start.","the moment we had been waiting for finally arrived","event_only",9
"10","191","133",0,"We waited some more, but only until we could snag our waiter, who was now quite a bit busier, since nearly an hour had passed and many more people had come in.","We wait.","Things did not seem clear.","event_only",10
"10","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","I could not wait to taste that delicious burrito","event_only",11
"10","151","62",0,"At this point I'm just sticking around to watch the show.","I stick.","What happened next was really funny.","event_only",12
"10","196","68",6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","Manager shout.","He was not at all satisfied","event_only",13
"10","243","41",1,"We're amicable people, and enjoy small-talk with waiters... well, my mum and sister do, I'm hard of hearing so I'm generally quiet.","We people.","We were very hungry","event_only",14
"10","086","40",1,"I always had to speak up and try to get her attention for a refill.","I have.","We decided not to have a dessert","event_only",15
"10","023","88",4,"He told her and her husband that he didn't appreciate their rude treatment of his staff, which happened every time they came in.","He tell.","He comes back to the table","event_only",16
"10","271","18",2,"I usually tip well, but I gave the waiter 12%, which actually was too much.","I tip.","We made a good choice","event_only",17
"11","171","58",0,"It's freezing this time of year so I didn't want to sit near the door.","It freezing.","I come.","caveman",1
"11","033","76",1,"At this point, she finally decides to get off the phone and gets huffy with the waitress about the ""defective teabag'' and how she needs to place her order ""right now because she's in a hurry.''","She decide.","I break.","caveman",2
"11","153","22",1,"It was a good thing that they didn't prepare my meal before giving me the price!","It thing.","I eat.","caveman",3
"11","191","11",3,"We were out of things for him to do other than sing ""Old MacDonald'' to him, which probably wouldn't have gone over too well with the other patrons.","We be.","Son bad.","caveman",4
"11","271","18",1,"Just to spite him, we remained at our table for nearly 3 hours.","We remain for hour to spite.","I pay.","caveman",5
"11","151","102",7,"We started on our way out of the restaurant.","We start on way.","Salad back.","caveman",6
"11","248","86",1,"When it came time to pay she brings our ticket and explains that she rang us up for the pecan pie I had ordered as it was less expensive and what I wanted in the first place, but we noticed that she charged us for our friend's Taco Salad.","I order.","They order.","caveman",7
"11","196","68",6,"The manager shouted after them that they had not paid their bill, and the man shouted back something that I can't repeat on a family site.","Manager shout after they.","He leave.","caveman",8
"11","086","40",0,"The waitress offered to refill my mother and brother's glasses, but she never asked if I needed one.","Waitress offer.","I like.","caveman",9
"11","063","84",0,"A few seconds later the server came to check on us and asked how our food was.","Seconds come.","Food come.","caveman",10
"11","120","41",0,"The food was good, the service was good, we had a fun time.","Food good.","We hungry.","caveman",11
"11","050","110",3,"I wonder, however, what we could have done differently to avoid his attitude.","I wonder.","She mad.","caveman",12
"11","022","48",1,"In reality this ""judge'' was trying to hide his martini on the floor.","Judge try in reality.","I work.","caveman",13
